Word/Phrase,Effort Score,Hits,Grid Name,Actual Position X,Actual Position Y,XY,Path,Cell Type,count
News,5.57,5,23 APPS YouTube - 1-Click Search,533.33,77.14,"(1, 3)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
TV,5.57,5,23 APPS YouTube - 1-Click Search,746.67,231.43,"(2, 4)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,7
Music,5.57,5,23 APPS YouTube - 1-Click Search,960.0,848.57,"(6, 5)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Film,5.57,5,23 APPS YouTube - 1-Click Search,533.33,231.43,"(2, 3)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Sport,5.57,5,23 APPS YouTube - 1-Click Search,533.33,385.71,"(3, 3)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Animals,5.57,5,23 APPS YouTube - 1-Click Search,746.67,77.14,"(1, 4)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Celebrity,5.57,5,23 APPS YouTube - 1-Click Search,960.0,694.29,"(5, 5)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Food,5.57,5,23 APPS YouTube - 1-Click Search,533.33,540.0,"(4, 3)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Cartoons,5.57,5,23 APPS YouTube - 1-Click Search,960.0,77.14,"(1, 5)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Travel,5.57,5,23 APPS YouTube - 1-Click Search,960.0,231.43,"(2, 5)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Games,5.57,5,23 APPS YouTube - 1-Click Search,960.0,385.71,"(3, 5)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Technology,5.57,5,23 APPS YouTube - 1-Click Search,960.0,540.0,"(4, 5)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Fashion,5.57,5,23 APPS YouTube - 1-Click Search,746.67,385.71,"(3, 4)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Politics,5.57,5,23 APPS YouTube - 1-Click Search,746.67,540.0,"(4, 4)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
Art,5.57,5,23 APPS YouTube - 1-Click Search,746.67,694.29,"(5, 4)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS YouTube - Home -> 23 APPS YouTube - 1-Click Search,WordList,1
this,3.55,3,17 MESSAGES - Talk,320.0,231.43,"(2, 2)",01 CORE - Home - TEEN ADULT -> 17 MESSAGES - .Index -> 17 MESSAGES - Talk,Regular,132
hang,3.55,3,17 MESSAGES - Talk,960.0,77.14,"(1, 5)",01 CORE - Home - TEEN ADULT -> 17 MESSAGES - .Index -> 17 MESSAGES - Talk,Regular,3
excuse,3.55,3,17 MESSAGES - Talk,746.67,77.14,"(1, 4)",01 CORE - Home - TEEN ADULT -> 17 MESSAGES - .Index -> 17 MESSAGES - Talk,Regular,3
be,3.55,3,17 MESSAGES - Talk,960.0,385.71,"(3, 5)",01 CORE - Home - TEEN ADULT -> 17 MESSAGES - .Index -> 17 MESSAGES - Talk,Regular,127
shut,3.55,3,17 MESSAGES - Talk,1173.33,385.71,"(3, 6)",01 CORE - Home - TEEN ADULT -> 17 MESSAGES - .Index -> 17 MESSAGES - Talk,Regular,3
let's,3.55,3,17 MESSAGES - Talk,320.0,77.14,"(1, 2)",01 CORE - Home - TEEN ADULT -> 17 MESSAGES - .Index -> 17 MESSAGES - Talk,Regular,8
it's,3.55,3,17 MESSAGES - Talk,960.0,231.43,"(2, 5)",01 CORE - Home - TEEN ADULT -> 17 MESSAGES - .Index -> 17 MESSAGES - Talk,Regular,35
I,3.55,3,17 MESSAGES - Talk,533.33,77.14,"(1, 3)",01 CORE - Home - TEEN ADULT -> 17 MESSAGES - .Index -> 17 MESSAGES - Talk,Regular,240
I'm,3.55,3,17 MESSAGES - Talk,320.0,385.71,"(3, 2)",01 CORE - Home - TEEN ADULT -> 17 MESSAGES - .Index -> 17 MESSAGES - Talk,Regular,41
that's,3.55,3,17 MESSAGES - Talk,533.33,385.71,"(3, 3)",01 CORE - Home - TEEN ADULT -> 17 MESSAGES - .Index -> 17 MESSAGES - Talk,Regular,22
1p,3.55,3,15 TOPICS - Money TEEN,106.67,77.14,"(1, 1)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
price,3.55,3,15 TOPICS - Money TEEN,533.33,385.71,"(3, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
pence,3.55,3,15 TOPICS - Money TEEN,746.67,77.14,"(1, 4)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,4
pound,3.55,3,15 TOPICS - Money TEEN,320.0,77.14,"(1, 2)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,4
penny,3.55,3,15 TOPICS - Money TEEN,533.33,77.14,"(1, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,2
money,3.55,3,15 TOPICS - Money TEEN,106.67,77.14,"(1, 1)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
£50,3.55,3,15 TOPICS - Money TEEN,1173.33,231.43,"(2, 6)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
£20,3.55,3,15 TOPICS - Money TEEN,960.0,231.43,"(2, 5)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
£10,3.55,3,15 TOPICS - Money TEEN,746.67,231.43,"(2, 4)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
£5,3.55,3,15 TOPICS - Money TEEN,533.33,231.43,"(2, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
20p,3.55,3,15 TOPICS - Money TEEN,960.0,77.14,"(1, 5)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
50p,3.55,3,15 TOPICS - Money TEEN,1173.33,77.14,"(1, 6)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
5p,3.55,3,15 TOPICS - Money TEEN,533.33,77.14,"(1, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
2p,3.55,3,15 TOPICS - Money TEEN,320.0,77.14,"(1, 2)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
coin,3.55,3,15 TOPICS - Money TEEN,106.67,385.71,"(3, 1)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
note,3.55,3,15 TOPICS - Money TEEN,320.0,385.71,"(3, 2)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,4
change,3.55,3,15 TOPICS - Money TEEN,746.67,385.71,"(3, 4)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,9
pocket,3.55,3,15 TOPICS - Money TEEN,320.0,694.29,"(5, 2)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
savings,3.55,3,15 TOPICS - Money TEEN,533.33,694.29,"(5, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,2
debit,3.55,3,15 TOPICS - Money TEEN,106.67,540.0,"(4, 1)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
credit,3.55,3,15 TOPICS - Money TEEN,320.0,540.0,"(4, 2)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
£1,3.55,3,15 TOPICS - Money TEEN,106.67,231.43,"(2, 1)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
£2,3.55,3,15 TOPICS - Money TEEN,320.0,231.43,"(2, 2)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
10p,3.55,3,15 TOPICS - Money TEEN,746.67,77.14,"(1, 4)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
euro,3.55,3,15 TOPICS - Money TEEN,106.67,1002.86,"(7, 1)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,2
purse,3.55,3,15 TOPICS - Money TEEN,106.67,848.57,"(6, 1)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
wallet,3.55,3,15 TOPICS - Money TEEN,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,3
cash,3.55,3,15 TOPICS - Money TEEN,533.33,540.0,"(4, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,1
bank,3.55,3,15 TOPICS - Money TEEN,106.67,694.29,"(5, 1)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,6
budget,3.55,3,15 TOPICS - Money TEEN,1173.33,694.29,"(5, 6)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,1
s,3.55,3,15 TOPICS - Money TEEN,1173.33,1157.14,"(8, 6)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,82
account,3.55,3,15 TOPICS - Money TEEN,746.67,540.0,"(4, 4)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,2
balance,3.55,3,15 TOPICS - Money TEEN,106.67,1157.14,"(8, 1)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,2
loan,3.55,3,15 TOPICS - Money TEEN,533.33,1157.14,"(8, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,1
mortgage,3.55,3,15 TOPICS - Money TEEN,746.67,1157.14,"(8, 4)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,1
transfer,3.55,3,15 TOPICS - Money TEEN,960.0,540.0,"(4, 5)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,1
benefit,3.55,3,15 TOPICS - Money TEEN,960.0,694.29,"(5, 5)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,1
wage,3.55,3,15 TOPICS - Money TEEN,746.67,694.29,"(5, 4)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Money TEEN,Regular,1
