Word/Phrase,Effort Score,Hits,Grid Name,Actual Position X,Actual Position Y,XY,Path,Cell Type
clock,4.26,4,13d TIME telling the time words,137.14,108.0,"(1, 1)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
midnight,4.26,4,13d TIME telling the time words,960.0,108.0,"(1, 4)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
o'clock,4.26,4,13d TIME telling the time words,137.14,540.0,"(3, 1)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
5,4.26,4,13d TIME telling the time words,960.0,972.0,"(5, 4)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
10,4.26,4,13d TIME telling the time words,685.71,972.0,"(5, 3)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
quarter,4.26,4,13d TIME telling the time words,960.0,540.0,"(3, 4)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
10,4.26,4,13d TIME telling the time words,685.71,540.0,"(3, 3)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
5,4.26,4,13d TIME telling the time words,411.43,540.0,"(3, 2)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
25,4.26,4,13d TIME telling the time words,960.0,756.0,"(4, 4)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
half,4.26,4,13d TIME telling the time words,685.71,756.0,"(4, 3)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
20,4.26,4,13d TIME telling the time words,137.14,756.0,"(4, 1)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
quarter,4.26,4,13d TIME telling the time words,411.43,972.0,"(5, 2)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
20,4.26,4,13d TIME telling the time words,137.14,972.0,"(5, 1)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
25,4.26,4,13d TIME telling the time words,411.43,756.0,"(4, 2)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
second,4.26,4,13d TIME telling the time words,137.14,324.0,"(2, 1)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
PM,4.26,4,13d TIME telling the time words,411.43,108.0,"(1, 2)",01 CORE pg1 -> 01 CORE pg2 -> 13a TIME pg1 -> 13d TIME telling the time words,Regular
