"Word or Utterance","Operation","Date and Time"
"play","Selected word","Feb 17, 2021 9:57:37 AM"
"play","Selected word","Feb 17, 2021 9:57:41 AM"
"play","Selected word","Feb 17, 2021 9:57:43 AM"
"eat","Selected word","Feb 17, 2021 9:57:45 AM"
"drink","Selected word","Feb 17, 2021 9:57:47 AM"
"fruit snacks","Selected word","Feb 17, 2021 9:57:51 AM"
"chips","Selected word","Feb 17, 2021 9:57:58 AM"
"play play play eat drink fruit snacks chips","Deleted message","Feb 17, 2021 9:58:00 AM"
"play","Selected word","Feb 17, 2021 9:58:02 AM"
"go","Selected word","Feb 17, 2021 9:58:04 AM"
"play go","Deleted message","Feb 17, 2021 9:59:18 AM"
"play","Selected word","Feb 17, 2021 9:59:28 AM"
"eat","Selected word","Feb 17, 2021 9:59:31 AM"
"play eat","Deleted message","Feb 17, 2021 9:59:33 AM"
"UP","Selected word","Feb 17, 2021 9:59:56 AM"
"up","Deleted message","Feb 17, 2021 9:59:58 AM"
"UP","Selected word","Feb 17, 2021 9:59:59 AM"
"play","Selected word","Feb 17, 2021 10:00:02 AM"
"up play","Deleted message","Feb 17, 2021 10:00:03 AM"
"UP","Selected word","Feb 17, 2021 10:00:26 AM"
"UP","Selected word","Feb 17, 2021 10:00:26 AM"
"DOWN","Selected word","Feb 17, 2021 10:00:44 AM"
"up up down","Deleted message","Feb 17, 2021 10:00:45 AM"
"DOWN","Selected word","Feb 17, 2021 10:00:47 AM"
"eat","Selected word","Feb 17, 2021 10:01:10 AM"
"UP","Selected word","Feb 17, 2021 10:01:12 AM"
"DOWN","Selected word","Feb 17, 2021 10:01:20 AM"
"DOWN","Selected word","Feb 17, 2021 10:01:25 AM"
"UP","Selected word","Feb 17, 2021 10:01:29 AM"
"UP","Selected word","Feb 17, 2021 10:01:36 AM"
"UP","Selected word","Feb 17, 2021 10:01:41 AM"
"DOWN","Selected word","Feb 17, 2021 10:01:46 AM"
"down eat up down down up up up down","Deleted message","Feb 17, 2021 10:01:48 AM"
"DOWN","Selected word","Feb 17, 2021 10:01:50 AM"
"DOWN","Selected word","Feb 17, 2021 10:01:57 AM"
"UP","Selected word","Feb 17, 2021 10:02:03 AM"
"UP","Selected word","Feb 17, 2021 10:02:10 AM"
"UP","Selected word","Feb 17, 2021 10:02:13 AM"
"UP","Selected word","Feb 17, 2021 10:02:20 AM"
"DOWN","Selected word","Feb 17, 2021 10:02:25 AM"
